READING_TIME,METER_READING
2020-05-07 21:08:18,22565.203
2020-05-07 22:08:18,22567.203
2020-05-07 23:09:37,22573.996
2020-05-08 00:12:12,22577.322
2020-05-08 01:12:12,22581.322
2020-05-08 02:19:51,22582.33
2020-05-08 03:21:04,22583.68
2020-05-08 04:22:09,22585.945
2020-05-08 05:23:02,22587.129
2020-05-08 06:24:12,22588.063
2020-05-08 07:25:50,22589.039
2020-05-08 08:26:32,22590.412
2020-05-08 09:27:28,22591.582
2020-05-08 10:28:08,22593.947
2020-05-08 11:29:11,22596.717
2020-05-08 12:29:42,22599.471
2020-05-08 13:30:27,22601.652
2020-05-08 14:31:55,22604.301
2020-05-08 15:32:40,22607.404
2020-05-08 16:33:51,22609.807
2020-05-08 17:07:26,22611.039
2020-05-08 18:34:48,22613.523
2020-05-08 19:35:51,22614.623
2020-05-08 20:36:52,22616.389
2020-05-08 21:36:52,22619.389
2020-05-08 22:36:52,22621.389
2020-05-08 23:36:52,22624.389
2020-05-09 00:27:59,22626.658
2020-05-09 01:27:59,22627.658
2020-05-09 02:18:47,22628.754
2020-05-09 03:18:47,22629.136000000002
2020-05-09 04:18:47,22629.953999999998
2020-05-09 05:57:26,22630.895
2020-05-09 07:55:28,22631.561
2020-05-09 09:05:46,22633.289
2020-05-09 10:16:22,22634.986
2020-05-09 11:25:20,22636.717
2020-05-09 12:36:21,22639.547
2020-05-09 13:48:40,22642.244
2020-05-09 14:55:59,22644.396
2020-05-09 16:05:22,22647.47700000001
2020-05-09 17:16:19,22651.039
2020-05-09 18:25:26,22653.77
2020-05-09 19:35:40,22655.422
2020-05-09 20:47:36,22657.174
2020-05-09 21:57:34,22659.57
2020-05-09 23:04:38,22662.631
2020-05-10 00:15:45,22664.65
2020-05-10 01:25:16,22666.167999999998
2020-05-10 02:36:45,22666.98
2020-05-10 03:45:46,22667.357000000004
2020-05-10 04:55:42,22667.74
2020-05-10 06:10:04,22668.042999999998
2020-05-10 07:16:41,22668.338
2020-05-10 08:25:29,22668.641
2020-05-10 09:39:15,22669.342
2020-05-10 10:45:33,22671.096
2020-05-10 11:56:21,22673.438
2020-05-10 13:06:29,22675.305
2020-05-10 14:15:03,22678.805
2020-05-10 15:26:35,22681.842
2020-05-10 16:35:29,22683.973
2020-05-10 17:46:45,22687.947
2020-05-10 18:55:31,22690.418
2020-05-10 20:05:50,22693.029
2020-05-10 21:15:34,22695.97700000001
2020-05-10 22:25:46,22698.26
2020-05-10 23:35:53,22700.381
2020-05-11 00:04:02,22701.023
