USAGE_TIME,USAGE
2020-05-09 00:15:00,0.89
2020-05-09 00:30:00,0.774
2020-05-09 00:45:00,0.673
2020-05-09 01:00:00,0.313
2020-05-09 01:15:00,0.2
2020-05-09 01:30:00,0.202
2020-05-09 01:45:00,0.187
2020-05-09 02:00:00,0.199
2020-05-09 02:15:00,0.186
2020-05-09 02:30:00,0.152
2020-05-09 02:45:00,0.145
2020-05-09 03:00:00,0.139
2020-05-09 03:15:00,0.151
2020-05-09 03:30:00,0.136
2020-05-09 03:45:00,0.164
2020-05-09 04:00:00,0.138
2020-05-09 04:15:00,0.163
2020-05-09 04:30:00,0.14
2020-05-09 04:45:00,0.151
2020-05-09 05:00:00,0.146
2020-05-09 05:15:00,0.14
2020-05-09 05:30:00,0.157
2020-05-09 05:45:00,0.133
2020-05-09 06:00:00,0.132
2020-05-09 06:15:00,0.076
2020-05-09 06:30:00,0.096
2020-05-09 06:45:00,0.078
2020-05-09 07:00:00,0.086
2020-05-09 07:15:00,0.085
2020-05-09 07:30:00,0.078
2020-05-09 07:45:00,0.097
2020-05-09 08:00:00,0.078
2020-05-09 08:15:00,0.132
2020-05-09 08:30:00,0.194
2020-05-09 08:45:00,0.648
2020-05-09 09:00:00,0.53
2020-05-09 09:15:00,0.457
2020-05-09 09:30:00,0.346
2020-05-09 09:45:00,0.382
2020-05-09 10:00:00,0.385
2020-05-09 10:15:00,0.284
2020-05-09 10:30:00,0.401
2020-05-09 10:45:00,0.509
2020-05-09 11:00:00,0.442
2020-05-09 11:15:00,0.28
2020-05-09 11:30:00,0.22
2020-05-09 11:45:00,0.21
2020-05-09 12:00:00,0.64
2020-05-09 12:15:00,0.647
2020-05-09 12:30:00,0.808
2020-05-09 12:45:00,1.067
2020-05-09 13:00:00,0.524
2020-05-09 13:15:00,0.602
2020-05-09 13:30:00,0.542
2020-05-09 13:45:00,0.409
2020-05-09 14:00:00,0.379
2020-05-09 14:15:00,0.4
2020-05-09 14:30:00,0.402
2020-05-09 14:45:00,0.533
2020-05-09 15:00:00,0.636
2020-05-09 15:15:00,0.692
2020-05-09 15:30:00,0.695
2020-05-09 15:45:00,0.601
2020-05-09 16:00:00,0.668
2020-05-09 16:15:00,0.572
2020-05-09 16:30:00,0.755
2020-05-09 16:45:00,0.71
2020-05-09 17:00:00,0.551
2020-05-09 17:15:00,1.14
2020-05-09 17:30:00,0.481
2020-05-09 17:45:00,0.731
2020-05-09 18:00:00,0.714
2020-05-09 18:15:00,0.577
2020-05-09 18:30:00,0.424
2020-05-09 18:45:00,0.398
2020-05-09 19:00:00,0.37
2020-05-09 19:15:00,0.352
2020-05-09 19:30:00,0.336
2020-05-09 19:45:00,0.325
2020-05-09 20:00:00,0.413
2020-05-09 20:15:00,0.372
2020-05-09 20:30:00,0.307
2020-05-09 20:45:00,0.344
2020-05-09 21:00:00,0.341
2020-05-09 21:15:00,0.302
2020-05-09 21:30:00,0.616
2020-05-09 21:45:00,0.665
2020-05-09 22:00:00,0.623
2020-05-09 22:15:00,0.85
2020-05-09 22:30:00,0.679
2020-05-09 22:45:00,0.576
2020-05-09 23:00:00,0.649
2020-05-09 23:15:00,0.598
2020-05-09 23:30:00,0.616
2020-05-09 23:45:00,0.343
2020-05-09 00:00:00,0.307
